Arrests by Offense,Westmoreland,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",2,5
Robbery,0,0
Aggravated Assault,20,1
Simple Assault/Intimidation,95,11
Arson,0,0
Extortion/Blackmail,0,0
Burglary,13,2
Larceny,43,3
Motor Vehicle Theft,14,0
Counterfeiting/Forgery,4,0
Fraud,17,0
Embezzlement,1,0
Stolen Property,1,0
Vandalism,11,0
Drug/Narcotic Offenses,17,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,9,4
TOTAL GROUP A,249,27
Bad Checks,54,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,9,
Driving Under Influence,44,2
Drunkenness,54,2
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,6,3
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,13,2
Conspiracy,0,0
All Other (except Traffic),189,21
TOTAL GROUP B,371,31
GRAND TOTAL,620,58
