Arrests by Offense,Fairfax,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,19,0
"Sex Offenses, Forcible",23,0
Robbery,22,4
Aggravated Assault,90,2
Simple Assault/Intimidation,945,26
Arson,4,0
Extortion/Blackmail,1,0
Burglary,38,1
Larceny,530,21
Motor Vehicle Theft,32,1
Counterfeiting/Forgery,38,0
Fraud,135,1
Embezzlement,78,1
Stolen Property,60,0
Vandalism,76,4
Drug/Narcotic Offenses,229,22
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,1,0
Prostitution,10,0
Bribery,1,0
Weapon Law Violations,59,5
TOTAL GROUP A,"2,392",88
Bad Checks,92,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,14,1
Driving Under Influence,1003,4
Drunkenness,311,2
"Family Offenses, Nonforcible",64,1
Liquor Laws Violations,29,8
Peeping Tom,11,0
Runaway,0,2
Trespass of Real Property,81,8
Conspiracy,0,0
All Other (except Traffic),1017,35
TOTAL GROUP B,2622,61
GRAND TOTAL,5014,149
