Arrests by Offense,Rockingham,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",6,5
Robbery,0,0
Aggravated Assault,10,0
Simple Assault/Intimidation,68,4
Arson,0,0
Extortion/Blackmail,0,0
Burglary,21,7
Larceny,34,14
Motor Vehicle Theft,7,0
Counterfeiting/Forgery,7,0
Fraud,10,0
Embezzlement,4,0
Stolen Property,7,0
Vandalism,7,5
Drug/Narcotic Offenses,178,14
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,28,1
TOTAL GROUP A,389,50
Bad Checks,287,1
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,6,3
Driving Under Influence,240,6
Drunkenness,174,4
"Family Offenses, Nonforcible",3,
Liquor Laws Violations,55,22
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,25,13
Conspiracy,1,0
All Other (except Traffic),1630,249
TOTAL GROUP B,2421,298
GRAND TOTAL,2810,348
