Arrests by Offense,Hampton,
,Adult,Juvenile
Murder,10,0
Manslaughter,0,0
Kidnaping,49,5
"Sex Offenses, Forcible",33,10
Robbery,45,4
Aggravated Assault,120,7
Simple Assault/Intimidation,741,39
Arson,4,1
Extortion/Blackmail,0,0
Burglary,94,11
Larceny,534,76
Motor Vehicle Theft,24,9
Counterfeiting/Forgery,41,0
Fraud,75,0
Embezzlement,55,1
Stolen Property,41,1
Vandalism,54,11
Drug/Narcotic Offenses,696,51
"Sex Offenses, Nonforcible",4,0
Pornography,0,0
Gambling,,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,77,10
TOTAL GROUP A,"2,698",236
Bad Checks,26,0
Curfew/Loitering/Vagrancy,1,167
Disorderly Conduct,7,12
Driving Under Influence,86,2
Drunkenness,36,2
"Family Offenses, Nonforcible",8,1
Liquor Laws Violations,8,33
Peeping Tom,0,0
Runaway,0,422
Trespass of Real Property,154,49
Conspiracy,0,0
All Other (except Traffic),1920,108
TOTAL GROUP B,2246,796
GRAND TOTAL,4944,1032
