Arrests by Offense,Albemarle ,
,Adult,Juvenile
Murder,2,1
Manslaughter,0,0
Kidnaping,6,0
"Sex Offenses, Forcible",15,1
Robbery,5,0
Aggravated Assault,15,4
Simple Assault/Intimidation,298,23
Arson,1,3
Extortion/Blackmail,0,1
Burglary,30,23
Larceny,157,68
Motor Vehicle Theft,1,2
Counterfeiting/Forgery,28,0
Fraud,90,0
Embezzlement,38,2
Stolen Property,5,2
Vandalism,35,7
Drug/Narcotic Offenses,161,18
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,28,5
TOTAL GROUP A,916,160
Bad Checks,332,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,14,6
Driving Under Influence,174,7
Drunkenness,119,0
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,74,30
Peeping Tom,0,0
Runaway,0,2
Trespass of Real Property,27,5
Conspiracy,0,0
All Other (except Traffic),640,55
TOTAL GROUP B,1382,105
GRAND TOTAL,2298,265
