Arrests by Offense,Appomattox,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",3,0
Robbery,1,0
Aggravated Assault,0,0
Simple Assault/Intimidation,25,18
Arson,0,0
Extortion/Blackmail,0,0
Burglary,14,9
Larceny,30,3
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,14,0
Fraud,1,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,6,1
Drug/Narcotic Offenses,52,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,1
TOTAL GROUP A,155,36
Bad Checks,1,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,3,11
Driving Under Influence,79,1
Drunkenness,0,0
"Family Offenses, Nonforcible",,
Liquor Laws Violations,4,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,13,6
Conspiracy,0,0
All Other (except Traffic),43,0
TOTAL GROUP B,143,19
GRAND TOTAL,298,55
