Arrests by Offense,Danville,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",2,0
Robbery,2,0
Aggravated Assault,21,0
Simple Assault/Intimidation,662,19
Arson,0,1
Extortion/Blackmail,0,0
Burglary,4,1
Larceny,245,18
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,4,0
Fraud,40,0
Embezzlement,3,1
Stolen Property,1,0
Vandalism,37,4
Drug/Narcotic Offenses,139,6
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,1,0
Prostitution,5,0
Bribery,2,0
Weapon Law Violations,51,1
TOTAL GROUP A,"1,223",51
Bad Checks,229,1
Curfew/Loitering/Vagrancy,1,120
Disorderly Conduct,40,28
Driving Under Influence,283,0
Drunkenness,534,2
"Family Offenses, Nonforcible",,
Liquor Laws Violations,45,4
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,258,50
Conspiracy,0,0
All Other (except Traffic),1898,144
TOTAL GROUP B,3289,349
GRAND TOTAL,4512,400
