Arrests by Offense,Fluvanna,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,1,0
Aggravated Assault,5,2
Simple Assault/Intimidation,52,7
Arson,0,0
Extortion/Blackmail,0,0
Burglary,3,3
Larceny,7,7
Motor Vehicle Theft,1,2
Counterfeiting/Forgery,2,0
Fraud,0,0
Embezzlement,0,0
Stolen Property,1,0
Vandalism,0,2
Drug/Narcotic Offenses,12,7
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,2,2
TOTAL GROUP A,87,32
Bad Checks,1,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,1,5
Driving Under Influence,39,3
Drunkenness,10,0
"Family Offenses, Nonforcible",,
Liquor Laws Violations,2,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,1,1
Conspiracy,0,0
All Other (except Traffic),32,9
TOTAL GROUP B,86,20
GRAND TOTAL,173,52
