Date,Street Address,Number,Notes
9/1/2014,Sandy Lake Dr,2,
9/1/2014,Tulip St,1,
9/2/2014,Fox Hill Rd/ Essex Park Dr,4,
9/3/2014,Spottswood Pl,1,
9/3/2014,Washington St,1,
9/4/2014,Burton,1,DOA
9/4/2014,Quash St/ N. King St,2,
9/5/2014,Cherry Ave,1,DOA
9/6/2014,Chesapeake Ave,1,
9/7/2014,Cherry Ave,1,DOA
9/9/2014,Morgan Dr/ Woodland Rd,1,DOA
9/10/2014,Murray Ave,2,
9/10/2014,Whealton,1,DOA
9/11/2014,Hardy Cash,1,
9/12/2014,Edward Dr,1,
9/12/2014,Butler Dr,1,
9/13/2014,Aspenwood Dr,1,
9/13/2014,Brightwood Ave,1,
9/14/2014,Butler Farm Rd,1,DOA
9/14/2014,Hanover Ave,2,
9/15/2014,Chickamauga Pike,1,
9/15/2014,Cornelius,1,
9/16/2014,Lyford key,1,
9/16/2014,Sandy Lake Dr,1,
9/17/2014,Sandy Lake Dr,1,
9/17/2014,Aluminum Ave,1,
9/17/2014,Quash St,1,
9/17/2014,N. Armistead Ave,1,
9/18/2014,Kinsmen Way,1,
9/18/2014,Markham Dr,1,
9/18/2014,Bell St,1,
9/19/2014,Aspenwood Dr,1,
9/19/2014,S. Armistead Ave,1,
9/20/2014,Candelwood,2,
9/20/2014,W. Sewell St,1,
9/21/2014,Candelwood,2,
9/21/2014,Beach Rd,1,
9/22/2014,Cedar Dr,3,
9/22/2014,W. Mercury Blvd,1,
9/22/2014,W. Pembroke Ave,1,
9/23/2014,W. Sewell St,1,
9/23/2014,Prince George Dr,1,
9/23/2014,Watkins Dr,1,
9/24/2014,W. Queen St,1,
9/24/2014,Candelwood,2,
9/25/2014,Michigan Dr,1,
9/25/2014,Aberdeen St/ 58th St,1,DOA
9/25/2014,Semple Farm Rd,1,
9/25/2014,N. Armistead Ave,1,
9/26/2014,N. Armistead Ave,1,
9/26/2014,Greenbriar Ave/ Shell Rd,1,DOA
9/26/2014,North Park Lane,1,
9/29/2014,Prince George Dr,1,
9/29/2014,Buckroe Ave.,1,
9/30/2014,Green Spring Ct.,1,
