Date ,Charge ,Street ,Zipcode ,SubDivsion
8/16/2006,MOTOR VEHICLE THEFT ,ALBACORE DRIVE ,23692,MILL COVE ESTATES
8/16/2006,"BURGLARY, RESIDENTIAL ",ALBACORE DRIVE ,23692,MILL COVE ESTATES
6/22/2006,"BURGLARY, RESIDENTIAL ",ALICE COURT ,23692,WILLOW LAKES
11/11/2006,"GRAFFITI ,PRIVATE PROPERTY ",ALLEN HARRIS DRIVE ,23692,SETTLERS CROSSING
5/1/2006,CITIZEN REQUESTED ASSISTANCE ,ALLEN HARRIS DRIVE ,23692,SETTLERS CROSSING
1/10/2006,RUNAWAY JUVENILE ,ALLEN HARRIS DRIVE ,23692,SETTLERS CROSSING
9/16/2006,CITIZEN REQUESTED ASSISTANCE ,ALLENS MILL ROAD ,23692,
8/4/2006,"ASSAULT, SIMPLE ",ALLENS MILL ROAD ,23692,
7/14/2006,"DAMAGE PROPERTY, PRIVATE ",ALLENS MILL ROAD ,23692,
7/11/2006,"DAMAGE PROPERTY, PRIVATE ",ALLENS MILL ROAD ,23692,
6/13/2006,CITIZEN REQUESTED ASSISTANCE ,ALLENS MILL ROAD ,23692,
7/26/2006,CREDIT CARD FRAUD ,AMORY LANE ,23692,
7/14/2006,CREDIT CARD FRAUD ,AMORY LANE ,23692,
7/8/2006,CREDIT CARD FRAUD ,AMORY LANE ,23692,
7/6/2006,CREDIT CARD FRAUD ,AMORY LANE ,23692,
7/3/2006,CREDIT CARD FRAUD ,AMORY LANE ,23692,
6/26/2006,CREDIT CARD FRAUD ,AMORY LANE ,23692,
6/23/2006,CREDIT CARD FRAUD ,AMORY LANE ,23692,
6/25/2006,CREDIT CARD FRAUD ,AMORY LANE ,23692,
6/21/2006,CREDIT CARD FRAUD ,AMORY LANE ,23692,
6/9/2006,CREDIT CARD FRAUD ,AMORY LANE ,23692,
6/4/2006,CREDIT CARD FRAUD ,AMORY LANE ,23692,
4/1/2006,IDENTITY FRAUD ,ANCHOR LANE ,23692,SHIP POINT FARM
5/29/2006,THREATEN BODILY HARM ,ANCHOR LANE ,23692,SHIP POINT FARM
1/2/2006,"DAMAGE PROPERTY, PRIVATE ",ANDREWS CROSSING ,23692,PATRICKS LANDING
3/27/2006,CITIZEN REQUESTED ASSISTANCE ,ARCADIA LOOP ,23692,CLAIRMONT
12/15/2006,GRAND LARCENY ,ARCADIA LOOP ,23692,CLAIRMONT
12/7/2006,MOTOR VEHICLE THEFT ,ARCADIA LOOP ,23692,CLAIRMONT
12/3/2006,"DAMAGE PROPERTY, PRIVATE ",ARCADIA LOOP ,23692,CLAIRMONT
11/2/2006,INDECENT EXPOSURE ,ARCADIA LOOP ,23692,CLAIRMONT
11/12/2006,CITIZEN REQUESTED ASSISTANCE ,ARCADIA LOOP ,23692,CLAIRMONT
10/14/2006,CITIZEN REQUESTED ASSISTANCE ,ARCADIA LOOP ,23692,CLAIRMONT
