Date ,Charge ,Street ,Zipcode ,SubDivsion
3/22/2006,POSSESSION OF MARIJUANA ,AIRPORT ROAD ,23188,
1/11/2006,"LARCENY,FROM MOTOR VEHICLE ",AIRPORT ROAD ,23188,
12/14/2006,DRIVING W/SUSPENDED OR REVOKED LICENSE ,AIRPORT ROAD ,23188,
12/14/2006,POSSESSION OF MARIJUANA ,AIRPORT ROAD ,23188,
3/24/2006,ABUSE AND NEGLECT OF CHILDREN ,ALABAMA LANE ,23188,SKIMINO HILLS
2/1/2006,ATTEMPTED SUICIDE ,ALABAMA LANE ,23188,SKIMINO HILLS
12/30/2005,CREDIT CARD FRAUD ,ANGUS LANE ,23188,HENDERSON
12/12/2006,POSSESSION OF MARIJUANA ,BARLOW ROAD ,23188,SKIMINO
10/15/2006,CITIZEN REQUESTED ASSISTANCE ,BARLOW ROAD ,23188,SKIMINO
9/20/2006,CITIZEN REQUESTED ASSISTANCE ,BARLOW ROAD ,23188,SKIMINO
9/17/2006,POSSESSION OF MARIJUANA ,BARLOW ROAD ,23188,SKIMINO
9/17/2006,"BURGLARY, BUSINESS ",BARLOW ROAD ,23188,SKIMINO
8/25/2006,CITIZEN REQUESTED ASSISTANCE ,BARLOW ROAD ,23188,SKIMINO
8/23/2006,CITIZEN REQUESTED ASSISTANCE ,BARLOW ROAD ,23188,SKIMINO
8/23/2006,CITIZEN REQUESTED ASSISTANCE ,BARLOW ROAD ,23188,SKIMINO
4/13/2006,CITIZEN REQUESTED ASSISTANCE ,BARLOW ROAD ,23188,SKIMINO
7/11/2006,"ASSAULT, SIMPLE, DOMESTIC ",BARLOW ROAD ,23188,OAKTREE
3/26/2006,"DAMAGE PROPERTY, PRIVATE ",BARLOW ROAD ,23188,SKIMINO RANCHES
7/3/2006,SEXUAL BATTERY ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
7/2/2006,SEXUAL BATTERY ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
7/1/2006,SEXUAL BATTERY ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
6/30/2006,SEXUAL BATTERY ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
6/27/2006,SEXUAL BATTERY ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
6/26/2006,SEXUAL BATTERY ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
6/25/2006,SEXUAL BATTERY ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
6/24/2006,SEXUAL BATTERY ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
6/23/2000,SEXUAL BATTERY ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
6/20/2006,SEXUAL BATTERY ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
6/19/2006,SEXUAL BATTERY ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
6/18/2006,SEXUAL BATTERY ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
6/17/2006,SEXUAL BATTERY ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
6/25/2006,SEXUAL BATTERY ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
6/16/2006,SEXUAL BATTERY ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
6/29/2006,THREATEN BODILY HARM ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
5/21/2006,"DAMAGE PROPERTY, PRIVATE ",CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
5/17/2006,CITIZEN REQUESTED ASSISTANCE ,CAMERON CIRCLE ,23188,FAIRFIELD GOVERNORS GREEN
11/11/2006,CITIZEN REQUESTED ASSISTANCE ,CARTERS NECK ROAD ,23188,HORSEMANS HILL
1/6/2006,CITIZEN REQUESTED ASSISTANCE ,CARTERS NECK ROAD ,23188,TWIN OAKS
8/24/2006,CITIZEN REQUESTED ASSISTANCE ,CHAPEL HILL LANE ,23188,SKIMINO HILLS
8/9/2006,"ASSAULT, SIMPLE, DOMESTIC ",CHAPEL HILL LANE ,23188,SKIMINO HILLS
1/28/2006,CITIZEN REQUESTED ASSISTANCE ,CHERWELL COURT ,23188,BANBURY CROSS
1/28/2006,"DAMAGE PROPERTY, PRIVATE ",CHERWELL COURT ,23188,BANBURY CROSS
7/25/2005,BAD CHECKS ,CHERWELL COURT ,23188,BANBURY CROSS
6/28/2006,"ASSAULT, SIMPLE ",DEER PATH ROAD ,23188,SKIMINO FARMS
11/13/2006,GRAND LARCENY ,DEER PATH ROAD ,23188,SKIMINO FARMS
12/24/2006,"BURGLARY, RESIDENTIAL ",EAST QUEENS DRIVE ,23188,QUEENS LAKE
12/13/2006,CITIZEN REQUESTED ASSISTANCE ,EAST QUEENS DRIVE ,23188,QUEENS LAKE
6/30/2006,"ASSAULT, SIMPLE, DOMESTIC ",EAST QUEENS DRIVE ,23188,QUEENS LAKE
4/16/2006,PETIT LARCENY ,EAST QUEENS DRIVE ,23188,QUEENS LAKE
4/8/2006,GRAND LARCENY ,EAST QUEENS DRIVE ,23188,QUEENS LAKE
1/20/2006,"DAMAGE PROPERTY, PRIVATE ",EAST QUEENS DRIVE ,23188,QUEENS LAKE
9/28/2006,"FRAUD, ALL OTHERS ",EAST ROCHAMBEAU DRIVE ,23188,
8/28/2006,"FRAUD, ALL OTHERS ",EAST ROCHAMBEAU DRIVE ,23188,
8/27/2006,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
7/16/2006,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,23188,
5/26/2006,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,23188,
1/8/2006,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
11/11/2006,SEXUAL BATTERY ,EAST ROCHAMBEAU DRIVE ,23188,
9/12/2006,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
11/13/2006,HIT & RUN ,EAST ROCHAMBEAU DRIVE ,23188,
11/12/2006,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
10/24/2006,"SALE, DISTRIBUTE MARIJUANA ",EAST ROCHAMBEAU DRIVE ,23188,
10/19/2006,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
5/26/2006,IDENTITY FRAUD ,EAST ROCHAMBEAU DRIVE ,23188,
10/2/2006,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
8/5/2006,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
8/25/2006,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,23188,
8/12/2006,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
7/28/2006,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,
7/11/2006,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
6/25/2006,"LARCENY, ALL OTHERS ",EAST ROCHAMBEAU DRIVE ,23188,
6/4/2006,LOST PROPERTY ,EAST ROCHAMBEAU DRIVE ,23188,
6/4/2006,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,
5/31/2006,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
5/29/2006,DRUNK IN PUBLIC ,EAST ROCHAMBEAU DRIVE ,23188,
5/23/2006,"LARCENY,FROM MOTOR VEHICLE ",EAST ROCHAMBEAU DRIVE ,23188,
5/13/2006,CREDIT CARD FRAUD ,EAST ROCHAMBEAU DRIVE ,23188,
12/17/2005,CREDIT CARD THEFT ,EAST ROCHAMBEAU DRIVE ,23188,
12/10/2006,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
12/21/2006,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
12/21/2006,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,23188,
12/18/2006,POSSESSION OF CONTROLLED SUBSTANCES ,EAST ROCHAMBEAU DRIVE ,23188,
11/29/2006,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
12/5/2006,"FORGING, UTTERING ",EAST ROCHAMBEAU DRIVE ,23188,
12/5/2006,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
12/9/2006,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
12/10/2006,MOTOR VEHICLE THEFT ,EAST ROCHAMBEAU DRIVE ,23188,
11/30/2006,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
12/5/2006,LOST PROPERTY ,EAST ROCHAMBEAU DRIVE ,23188,
11/25/2006,"COUNTERFEITING/FORGERY, ALL OTHERS ",EAST ROCHAMBEAU DRIVE ,23188,
11/24/2006,DRIVING AFTER FORFEITURE OF LICENSE ,EAST ROCHAMBEAU DRIVE ,23188,
10/18/2006,LOST PROPERTY ,EAST ROCHAMBEAU DRIVE ,23188,
11/16/2006,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
10/26/2006,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
10/24/2006,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
10/18/2006,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,23188,
10/17/2006,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
9/30/2006,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,23188,
5/26/2006,IDENTITY FRAUD ,EAST ROCHAMBEAU DRIVE ,23188,
10/9/2006,DEATH INVESTIGATION ,EAST ROCHAMBEAU DRIVE ,23188,
10/4/2006,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,
9/25/2006,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
8/15/2006,"LARCENY,FROM MOTOR VEHICLE ",EAST ROCHAMBEAU DRIVE ,23188,
9/2/2006,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,
8/23/2006,RECOVERED VEHICLE-STOLEN OTHER JURISDICTION ,EAST ROCHAMBEAU DRIVE ,23188,
8/23/2006,LOST PROPERTY ,EAST ROCHAMBEAU DRIVE ,23188,
8/5/2006,LOST PROPERTY ,EAST ROCHAMBEAU DRIVE ,23188,
8/1/2006,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
8/1/2006,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
7/28/2006,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,23188,
7/19/2006,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
7/18/2006,"FRAUD, ALL OTHERS ",EAST ROCHAMBEAU DRIVE ,23188,
6/16/2006,SEXUAL BATTERY ,EAST ROCHAMBEAU DRIVE ,23188,
6/7/2006,LOST PROPERTY ,EAST ROCHAMBEAU DRIVE ,23188,
6/7/2006,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
6/9/2006,LOST PROPERTY ,EAST ROCHAMBEAU DRIVE ,23188,
5/29/2006,DRUNK IN PUBLIC ,EAST ROCHAMBEAU DRIVE ,23188,
5/25/2006,GRAND LARCENY ,EAST ROCHAMBEAU DRIVE ,23188,
5/12/2006,"POSSESSION OF SCHEDULE I,II CONTROLLED SUBSTANCE ",EAST ROCHAMBEAU DRIVE ,23188,
