Address,DateTime,Number,Type,Category
1600 BLOCK PEPPERS FERRY RD,2016-01-01,2016-00000001,Traffic Stop,Traffic
1600 BLOCK PEPPERS FERRY RD,2016-01-01,2016-00000001,Traffic Stop,Traffic
1600 BLOCK PEPPERS FERRY RD,2016-01-01,2016-00000006,Traffic Stop,Traffic
RINER RD  / LITTLE CAMP RD,2016-01-01,2016-00000005,Traffic Stop,Traffic
5500 BLOCK ROANOKE RD,2016-01-01,2016-00000007,Traffic Stop,Traffic
7600 BLOCK ROANOKE RD,2016-01-01,2016-00000009,Traffic Stop,Traffic
MERRIMAC RD  / HIGHTOP RD,2016-01-01,2016-00000026,Traffic Hazard,Traffic
800 BLOCK DEN HILL RD,2016-01-01,2016-00000036,Traffic Stop,Traffic
RINER RD  / CAMP CARYSBROOK RD,2016-01-01,2016-00000039,Traffic Stop,Traffic
1500 BLOCK UNION VALLEY RD,2016-01-01,2016-00000042,Traffic Stop,Traffic
PILOT RD  / CRAIGS MOUNTAIN RD,2016-01-01,2016-00000044,Reckless Driving,Traffic
PRICES FORK RD  / MERRIMAC RD,2016-01-01,2016-00000045,Traffic Stop,Traffic
5100 BLOCK NORTH FORK RD,2016-01-01,2016-00000046,Traffic Stop,Traffic
RINER RD  / LARKSPUR CIR,2016-01-01,2016-00000047,Reckless Driving,Traffic
PEPPERS FERRY RD  / BELVIEW DR,2016-01-01,2016-00000048,Traffic Stop,Traffic
PEPPERS FERRY RD  / BELVIEW DR,2016-01-01,2016-00000049,Traffic Stop,Traffic
3400 BLOCK PEPPERS FERRY RD,2016-01-02,2016-00000054,Traffic Stop,Traffic
2300 BLOCK TYLER RD,2016-01-02,2016-00000060,Traffic Stop,Traffic
400 BLOCK CONSTITUTION RD,2016-01-02,2016-00000061,Traffic Stop,Traffic
10400 BLOCK ROANOKE RD,2016-01-02,2016-00000067,Traffic Stop,Traffic
000 BLOCK BILLY ST,2016-01-02,2016-00000071,Motor Vehicle Crash,Traffic
6200 BLOCK ROANOKE RD,2016-01-02,2016-00000080,Motor Vehicle Crash,Traffic
4100 BLOCK PANDAPAS POND RD,2016-01-02,2016-00000081,Traffic Hazard,Traffic
RINER RD  / UNION VALLEY RD,2016-01-02,2016-00000091,Motor Vehicle Crash,Traffic
2300 BLOCK TYLER RD,2016-01-02,2016-00000094,Motor Vehicle Crash,Traffic
1500 BLOCK RADFORD RD,2016-01-02,2016-00000099,Traffic Stop,Traffic
3400 BLOCK RADFORD RD,2016-01-02,2016-00000100,Traffic Stop,Traffic
3100 BLOCK NORTH FORK RD,2016-01-02,2016-00000106,Traffic Stop,Traffic
3800 BLOCK FOX HOLLOW RD,2016-01-02,2016-00000108,Traffic Stop,Traffic
1500 BLOCK TURNBERRY LN,2016-01-03,2016-00000110,Traffic Stop,Traffic
DAIRY RD  / RINER RD,2016-01-03,2016-00000111,Traffic Stop,Traffic
1600 BLOCK AUBURN SCHOOL DR,2016-01-03,2016-00000114,Traffic Stop,Traffic
5700 BLOCK RINER RD,2016-01-03,2016-00000116,DUI,Traffic
PEPPERS FERRY RD  / DOMINION DR,2016-01-03,2016-00000156,Traffic Stop,Traffic
500 BLOCK POPLAR HOLLOW RD,2016-01-03,2016-00000136,Traffic Stop,Traffic
400 BLOCK MAXINE ST,2016-01-04,2016-00000165,Motor Vehicle Crash,Traffic
10400 BLOCK ROANOKE RD,2016-01-04,2016-00000170,DUI,Traffic
ROANOKE RD  / EASTERN MONTGOMERY LN,2016-01-05,2016-00000195,Traffic Stop,Traffic
6600 BLOCK ROANOKE RD,2016-01-05,2016-00000198,Traffic Stop,Traffic
2600 BLOCK RINER RD,2016-01-05,2016-00000211,Motor Vehicle Crash- W/Injuries,Traffic
2600 BLOCK RINER RD,2016-01-05,2016-00000004,Motor Vehicle Crash- W/Injuries,Traffic
2600 BLOCK RINER RD,2016-01-05,2016-00000011,Motor Vehicle Crash- W/Injuries,Traffic
4300 BLOCK PRICES FORK RD,2016-01-05,2016-00000214,Motor Vehicle Crash,Traffic
4600 BLOCK PRICES FORK RD,2016-01-06,2016-00000254,Traffic Stop,Traffic
1000 BLOCK ALLEGHANY SPRING RD,2016-01-06,2016-00000263,Motor Vehicle Crash,Traffic
2500 BLOCK RINER RD,2016-01-06,2016-00000268,Hit and Run,Traffic
1100 BLOCK LUSTERS GATE RD,2016-01-06,2016-00000271,Traffic Stop,Traffic
6400 BLOCK ROANOKE RD,2016-01-06,2016-00000273,Traffic Stop,Traffic
3800 BLOCK RADFORD RD,2016-01-06,2016-00000276,Traffic Stop,Traffic
1700 BLOCK TYLER RD,2016-01-06,2016-00000279,Traffic Stop,Traffic
1700 BLOCK TYLER RD,2016-01-06,2016-00000280,Traffic Stop,Traffic
3900 BLOCK SOUTH MAIN ST,2016-01-06,2016-00000282,Traffic Stop,Traffic
MERRIMAC RD  / HUFF LN,2016-01-07,2016-00000284,Traffic Stop,Traffic
CHILDRESS RD / DRY VALLEY RD,2016-01-07,2016-00000288,Traffic Stop,Traffic
2200 BLOCK PEPPERS FERRY RD,2016-01-07,2016-00000290,Motor Vehicle Crash,Traffic
3400 BLOCK PEPPERS FERRY RD,2016-01-07,2016-00000293,Traffic Stop,Traffic
3100 BLOCK PEPPERS FERRY RD,2016-01-07,2016-00000300,Radar,Traffic
4500 BLOCK EASTERN MONTGOMERY LN,2016-01-07,2016-00000301,Radar,Traffic
7900 BLOCK ROANOKE RD,2016-01-07,2016-00000303,Traffic Stop,Traffic
4200 BLOCK SHAMROCK CIR,2016-01-07,2016-00000340,Motor Vehicle Crash- W/Injuries,Traffic
4200 BLOCK SHAMROCK CIR,2016-01-07,2016-00000050,Motor Vehicle Crash- W/Injuries,Traffic
,2016-01-07,2016-00000347,Traffic Stop,Traffic
1000 BLOCK BRAKE RD,2016-01-07,2016-00000352,Traffic Stop,Traffic
TIPPLE RD  / MCCOY RD,2016-01-07,2016-00000367,Traffic Stop,Traffic
ADAMS MARKE DR  / MERRIMAC RD,2016-01-08,2016-00000368,Traffic Stop,Traffic
ADAMS MARKE DR  / MERRIMAC RD,2016-01-08,2016-00000475,Traffic Stop,Traffic
