Arrests by Offense,Northampton,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",5,1
Robbery,7,1
Aggravated Assault,13,0
Simple Assault/Intimidation,80,7
Arson,0,0
Extortion/Blackmail,0,0
Burglary,28,12
Larceny,32,12
Motor Vehicle Theft,7,1
Counterfeiting/Forgery,12,0
Fraud,8,0
Embezzlement,1,0
Stolen Property,3,1
Vandalism,7,30
Drug/Narcotic Offenses,57,3
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,0
TOTAL GROUP A,271,68
Bad Checks,61,0
Curfew/Loitering/Vagrancy,,1
Disorderly Conduct,3,
Driving Under Influence,34,0
Drunkenness,19,0
"Family Offenses, Nonforcible",,
Liquor Laws Violations,6,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,14,0
Conspiracy,0,0
All Other (except Traffic),59,1
TOTAL GROUP B,196,3
GRAND TOTAL,467,71
