Arrests by Offense,Gloucester,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",4,2
Robbery,2,0
Aggravated Assault,22,3
Simple Assault/Intimidation,98,29
Arson,0,5
Extortion/Blackmail,1,0
Burglary,18,4
Larceny,35,16
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,6,0
Fraud,5,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,5,3
Drug/Narcotic Offenses,166,9
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,10,5
TOTAL GROUP A,377,76
Bad Checks,,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,,
Driving Under Influence,58,1
Drunkenness,36,0
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,2,
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,1,0
Conspiracy,0,0
All Other (except Traffic),45,7
TOTAL GROUP B,144,8
GRAND TOTAL,521,84
