Arrests by Offense,Middlesex,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",0,0
Robbery,0,0
Aggravated Assault,1,0
Simple Assault/Intimidation,10,3
Arson,0,0
Extortion/Blackmail,0,0
Burglary,2,
Larceny,10,1
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,1,0
Fraud,0,0
Embezzlement,3,0
Stolen Property,0,0
Vandalism,3,0
Drug/Narcotic Offenses,36,2
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,5,1
TOTAL GROUP A,72,7
Bad Checks,,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,,
Driving Under Influence,25,1
Drunkenness,18,0
"Family Offenses, Nonforcible",,
Liquor Laws Violations,2,
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,0,0
Conspiracy,0,0
All Other (except Traffic),13,0
TOTAL GROUP B,58,1
GRAND TOTAL,130,8
