Arrests by Offense,Shenandoah,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",1,1
Robbery,1,0
Aggravated Assault,16,4
Simple Assault/Intimidation,174,24
Arson,0,1
Extortion/Blackmail,0,0
Burglary,13,
Larceny,62,58
Motor Vehicle Theft,5,2
Counterfeiting/Forgery,18,0
Fraud,19,0
Embezzlement,0,0
Stolen Property,6,1
Vandalism,25,9
Drug/Narcotic Offenses,148,11
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,17,5
TOTAL GROUP A,509,116
Bad Checks,120,2
Curfew/Loitering/Vagrancy,,12
Disorderly Conduct,21,8
Driving Under Influence,204,3
Drunkenness,207,3
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,35,18
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,23,13
Conspiracy,1,0
All Other (except Traffic),812,63
TOTAL GROUP B,1425,122
GRAND TOTAL,1934,238
