Arrests by Offense,Patrick,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",11,0
Robbery,7,0
Aggravated Assault,9,1
Simple Assault/Intimidation,97,7
Arson,2,0
Extortion/Blackmail,0,0
Burglary,22,3
Larceny,31,3
Motor Vehicle Theft,10,1
Counterfeiting/Forgery,6,0
Fraud,8,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,19,0
Drug/Narcotic Offenses,54,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,11,0
TOTAL GROUP A,290,15
Bad Checks,63,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,1,1
Driving Under Influence,68,2
Drunkenness,70,0
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,,
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,9,0
Conspiracy,0,0
All Other (except Traffic),160,1
TOTAL GROUP B,372,4
GRAND TOTAL,662,19
