Arrests by Offense,New Kent,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,2
Robbery,0,0
Aggravated Assault,12,0
Simple Assault/Intimidation,52,23
Arson,0,0
Extortion/Blackmail,0,0
Burglary,17,3
Larceny,17,2
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,3,0
Fraud,4,0
Embezzlement,8,0
Stolen Property,4,2
Vandalism,17,3
Drug/Narcotic Offenses,31,5
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,1
TOTAL GROUP A,177,41
Bad Checks,3,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,3,3
Driving Under Influence,65,0
Drunkenness,36,0
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,12,8
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,11,1
Conspiracy,0,0
All Other (except Traffic),112,5
TOTAL GROUP B,243,17
GRAND TOTAL,420,58
