Arrests by Offense,Augusta,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,9,0
"Sex Offenses, Forcible",15,1
Robbery,0,0
Aggravated Assault,12,1
Simple Assault/Intimidation,131,9
Arson,0,0
Extortion/Blackmail,0,0
Burglary,34,1
Larceny,84,10
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,30,0
Fraud,23,1
Embezzlement,8,0
Stolen Property,26,0
Vandalism,17,8
Drug/Narcotic Offenses,91,6
"Sex Offenses, Nonforcible",3,0
Pornography,0,0
Gambling,,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,13,0
TOTAL GROUP A,501,37
Bad Checks,31,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,9,1
Driving Under Influence,165,2
Drunkenness,114,0
"Family Offenses, Nonforcible",3,
Liquor Laws Violations,45,3
Peeping Tom,0,0
Runaway,0,6
Trespass of Real Property,38,0
Conspiracy,0,0
All Other (except Traffic),638,22
TOTAL GROUP B,1043,34
GRAND TOTAL,1544,71
