Arrests by Offense,Sussex,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",2,0
Robbery,5,0
Aggravated Assault,9,4
Simple Assault/Intimidation,76,13
Arson,1,0
Extortion/Blackmail,1,0
Burglary,11,4
Larceny,27,2
Motor Vehicle Theft,6,1
Counterfeiting/Forgery,17,0
Fraud,8,0
Embezzlement,0,0
Stolen Property,2,0
Vandalism,10,4
Drug/Narcotic Offenses,39,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,6,0
TOTAL GROUP A,220,32
Bad Checks,3,0
Curfew/Loitering/Vagrancy,1,0
Disorderly Conduct,16,2
Driving Under Influence,50,0
Drunkenness,29,0
"Family Offenses, Nonforcible",,
Liquor Laws Violations,2,4
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,19,2
Conspiracy,1,0
All Other (except Traffic),106,4
TOTAL GROUP B,227,12
GRAND TOTAL,447,44
