Arrests by Offense,Page,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",7,1
Robbery,0,0
Aggravated Assault,11,1
Simple Assault/Intimidation,28,1
Arson,0,0
Extortion/Blackmail,0,0
Burglary,5,1
Larceny,2,3
Motor Vehicle Theft,0,2
Counterfeiting/Forgery,1,0
Fraud,8,0
Embezzlement,1,0
Stolen Property,1,2
Vandalism,1,8
Drug/Narcotic Offenses,47,3
"Sex Offenses, Nonforcible",0,0
Pornography,1,3
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,1
TOTAL GROUP A,121,26
Bad Checks,,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,7,
Driving Under Influence,72,3
Drunkenness,17,2
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,,
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,6,0
Conspiracy,0,0
All Other (except Traffic),45,8
TOTAL GROUP B,149,13
GRAND TOTAL,270,39
