Disciplinary Actions - On-campus Student Housing Facilities
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2010,231420,Averett University,1,Main Campus,945,0,5,29
2010,366793,Baptist Theological Seminary at Richmond,1,Main Campus,101,0,0,0
2010,231554,Bluefield College,1,Main Campus,696,0,0,0
2010,231581,Bridgewater College,1,Main Campus,1688,0,1,75
2010,231712,Christopher Newport University,1,Main Campus,4916,0,23,113
2010,231624,College of William and Mary,1,Main Campus,8000,0,3,198
2010,232043,Eastern Mennonite University,1,Main Campus,1537,0,0,17
2010,231970,Eastern Virginia Medical School,1,Main Campus,790,0,0,0
2010,232025,Emory & Henry College,1,Main Campus,980,0,0,30
2010,232089,Ferrum College,1,Ferrum College,1484,0,27,70
2010,232186,George Mason University,1,Main Campus,32562,2,58,252
2010,232256,Hampden-Sydney College,1,Main Campus,1058,0,19,33
2010,232265,Hampton University,1,Main Campus,5254,1,0,0
2010,232308,Hollins University,1,Hollins University,1024,0,7,23
2010,232423,James Madison University,1,Main Campus-Harrisonburg,19434,5,17,529
2010,232423,James Madison University,2,Madison House (London Semester - Branch Campus),19434,0,0,0
2010,232423,James Madison University,3,Antwerp Hall- JMU Semester in Antwerp- Belgium,19434,0,0,0
2010,232423,James Madison University,4,Palazzo Capponi (JMU's Semester in Florence- Italy),19434,0,0,0
2010,231837,Jefferson College of Health Sciences,1,JCHS Main Campus,1032,0,0,3
2010,232557,Liberty University,1,Main Campus,56625,0,21,28
2010,232566,Longwood University,1,Main Campus,4831,0,5,141
2010,232609,Lynchburg College,1,Main Campus,2643,1,14,121
2010,232672,Mary Baldwin College,1,Main Campus,1849,0,0,15
2010,232706,Marymount University,1,Marymount University,3572,0,6,134
2010,232937,Norfolk State University,1,Norfolk State University,6964,7,44,32
2010,232982,Old Dominion University,1,Old Dominion University,24466,0,110,324
2010,233277,Radford University,1,Main Campus,9007,0,24,79
2010,233301,Randolph College,1,RANDOLPH COLLEGE,524,1,0,62
2010,233295,Randolph-Macon College,1,Main Campus,1222,0,1,67
2010,231651,Regent University,1,Main Campus,5217,0,1,2
2010,233338,Richard Bland College of the College of William and Mary,1,Richard Bland College of the College of William and Mary,1587,0,7,18
2010,233426,Roanoke College,1,Main Campus,2104,0,0,180
2010,233499,Saint Pauls College,1,Saint Paul's College,566,1,1,0
2010,233541,Shenandoah University,1,Main Campus,3679,4,26,56
2010,451608,Southeast Culinary & Hospitality College,1,Southeast Culinary & Hospitality College,98,0,0,0
2010,233611,Southern Virginia University,1,Main Campus,777,0,1,1
2010,233718,Sweet Briar College,1,Main Campus,760,0,1,19
2010,233897,The University of Virginia's College at Wise,1,University of VA's College at Wise,1990,0,8,0
2010,233842,Union Presbyterian Seminary,1,Main Campus,273,0,0,0
2010,232681,University of Mary Washington,1,University of Mary Washington,5203,0,13,157
2010,233374,University of Richmond,1,Main Campus,4405,0,12,171
2010,234076,University of Virginia-Main Campus,1,Main Campus,24391,0,1,0
2010,234030,Virginia Commonwealth University,1,Monroe Park Campus,32027,0,54,54
2010,234030,Virginia Commonwealth University,2,MCV Campus,32027,0,5,5
2010,233912,Virginia Intermont College,1,Virginia Intermont College,586,0,0,2
2010,234085,Virginia Military Institute,1,Virginia Military Institute,1569,0,7,35
2010,233921,Virginia Polytechnic Institute and State University,1,Virginia Polytechnic Institute and State Univ,31006,0,17,377
2010,233921,Virginia Polytechnic Institute and State University,7,Washington-Alexandria Center,31006,0,0,0
2010,233921,Virginia Polytechnic Institute and State University,9,Center for European Studies and Architecture,31006,0,0,0
2010,233921,Virginia Polytechnic Institute and State University,11,Middleburg Agricultural Research and Extension Center,31006,0,0,0
2010,234155,Virginia State University,1,Main Campus,5634,0,1,2
2010,234164,Virginia Union University,1,Main Campus,1667,0,5,11
2010,234137,Virginia University of Lynchburg,1,Main Campus,555,0,0,0
2010,234173,Virginia Wesleyan College,1,VIRGINIA WESLEYAN COLLEGE,1279,0,22,180
2010,234207,Washington and Lee University,1,Main Campus,2173,0,26,89
2010,234359,Woodrow Wilson Rehabilitation Center,1,Woodrow Wilson Rehabilitation Center,226,3,11,5
