Activity,Total
Canine Total Picked Up,81
Feline Total Picked Up,132
Wildlife Total Picked Up,96
Domestic Other Total Picked Up,2
Other Activities - Search Warrants,1
Other Activities - Follow-ups,52
Other Activities - Notice/Violations,72
Other Activities - Directed Patrols,1
Other Activities - Summonses/Warrants,14
Education - Programs/Lectures,1
Education - Citizen Contacts,976
