Date,Street Address,Number,Notes
5/1/2015,E. Cummings Avenue,1,
5/1/2015,Sharpley Avenue,1,
5/1/2015,E. Mercury Blvd,1,
5/1/2015,Aberdeen Road,1,DOA
5/2/2015,Wellington Drive,1,
5/2/2015,Jamestown Avenue,1,
5/3/2015,Catesby Jones,1,
5/3/2015,Moger Dr/ Grimes Rd,1,DOA
5/4/2015,N. Willard Avenue,1,DOA
5/4/2015,Bridgeport Cove Drive,1,
5/5/2015,Foley Street,2,
5/5/2015,Birch Avenue,1,
5/6/2015,Shell Road Trailer Park,2,
5/6/2015,Rogers Avenue,1,
5/6/2015,Settlers Landing Road,1,
5/7/2015,N. King Street,1,DOA
5/7/2015,Foley Street,1,
5/8/2015,E. Walker Road,3,
5/9/2015,Roberta Drive,6,
5/9/2015,Langley Avenue,2,
5/9/2015,Beach Road,1,
5/9/2015,Glenwood Rd,1,
5/10/2015,Langley Avenue,1,
5/11/2015,N. 6th Street,1,
5/11/2015,Seldondale Drive,2,
5/12/2015,Seldondale Drive,1,
5/14/2015,Quinn Street,1,
5/14/2015,Ridgeway Avenue,1,
5/15/2015,N. 5th Street,1,
5/15/2015,Rutland Drive,6,
5/16/2015,Seldondale Drive,2,
5/17/2015,Shell Road Trailer Park,1,
5/18/2015,Power Plant Pkwy,2,
5/18/2015,Foley Street,2,
5/21/2015,Prince George Dr,1,
5/21/2015,Kecoughtan Road,2,
5/22/2015,Grimes Road,3,
5/22/2015,Redwood Dr,1,DOA
5/22/2015,N. 5th Street,3,
5/23/2015,Settlers Ldng/ Stewart,1,DOA
5/23/2015,Grimes Road,1,
5/24/2015,Reynolds Drive,1,
5/25/2015,Grimes Road,2,
5/26/2015,Ryland Road,1,DOA
5/27/2015,Orcutt Avenue,1,
5/28/2015,Pembroke/ Washington,1,DOA
5/28/2015,Murray Avenue,3,
5/28/2015,Alleghany Rd,1,DOA
5/31/2015,Big Bethel/ Todds Lane,1,DOA
5/31/2015,Rip Rap Road,1,
