Offenses,Number,Crime Rate
Murder,4,8.26
Rape,5,10.33
Robbery,76,156.99
Aggravated Assaults,102,210.7
Burglary,436,900.62
Larceny,1612,3329.82
Motor Vehicle Theft,130,268.53
Arson,13,26.85
Total,"2,379",4914.17
Accidents,"1,280",
Calls For Services,"83,280",
