Index Offenses,Number,Crime Rate
Murder,8,16.53
Rape,15,30.98
Robbery,134,276.8
Aggravated Assaults,157,324.31
Burglary,365,753.96
Larceny,1798,3714.03
Motor Vehicle Theft,145,299.52
Arson,18,37.18
Total,2640,5453.31
Accidents,"1,586",
Calls For Services,"78,479",
