Index Offenses,Number,Crime Rate
Murder,5,10.94
Rape,9,19.69
Robbery,96,156.99
Aggravated Assaults,86,210.06
Burglary,552,1207.87
Larceny,"1,782",3899.34
Motor Vehicle Theft,112,245.07
Arson,19,41.57
Total,"2,656","5,811.81"
Accidents,"1,276",
Calls For Services,"84,095",
