Traffic Complaints,Total
Assist Motorists ,152
Crash/Priv. Prop. ,67
Crash/Street ,201
Directing ,17
Funeral Escorts ,94
Hazards ,71
Miscellaneous ,80
Parking Complaint ,29
Reckless Driving ,42
Suspended OL ,108
