Computer Crime Unit Statistics,Total
Felonies Worked,99
Felonies Cleared,88
Misdemeanors Worked,17
Misdemeanors Cleared,15
Computer Forensic Exams Conducted (Child Pornography),38
Computer Forensic Exams Conducted (Other Crimes),29
Task Force Speaking Engagements,23
Assistance (cases) to other Agencies,35
