County Enforcement,Total
Calls for Service,555
Felonies Worked,3
Traffic Summons,80
Felonies Cleared,2
Code Violation,53
Misdemeanors Worked,26
Public Nuisance,85
Misdemeanors Cleared,22
Civil Process,63
Prisoner Transport,10
