Civil Process,Total
"Total civil process served January 1, 2008 to December 31, 2008","22,802"
"Total civil process served by Sgt. Steve Mitchell, Deputy Devon Tweedy, and Deputy Terry Cook","15,319"
"Total EPO, PPO, and OOP (includes all protective orders)","1,511"
Writ of Possession served,227
Levies served,64
