Traffic Related Statistic,Total
Fatalities,13
DUI Arrests,91
Reckless Driving Summons Issued,37
Speeding Summons Issued,760
Seat Belts Summons Issued,84
Drive Suspended Summons Issued,79
Parking Tickets Issued,21
Other Summons/Arrests,255
