Time of Offense,Percentage of Robberies
Midnight - 5:59 a.m.,20.30%
6:00 a.m. - 11:59 a.m.,7.90%
Noon - 5:59 p.m.,14.90%
6:00 p.m. - 11:59 p.m.,40.80%
Unknown,16.10%
