Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,278,121,64,76,123,164,181,200,241,257,331,370,393
Tuesday,377,140,62,78,158,150,199,216,253,262,373,361,391
Wednesday,261,120,54,59,139,147,173,248,213,291,372,410,393
Thursday,303,149,55,67,130,168,169,185,227,233,341,369,392
Friday,349,170,86,67,127,158,174,205,258,292,377,514,455
Saturday,575,433,168,76,104,110,158,173,213,295,433,528,459
Sunday,598,394,148,60,95,119,143,181,206,286,348,337,452
Total,2741,1527,637,483,876,1016,1197,1408,1611,1916,2575,2889,2935
