Location of Motor Vehicle Theft,Number
Air/Bus/Train Terminal,38
Bank/Savings & Loan,1
Bar/Night Club,35
Church/Synagogue/Temple,32
Commercial/Office Building,300
Construction Site,61
Convenience Store,99
Department/Discount Store,40
Drug Store/Dr Office/Hospital,11
Field/Woods,123
Government/Public Building,41
Grocery/Supermarket,29
Highway/Road/Alley,2656
Hotel/Motel,124
Jail/Penitentiary,7
Lake/Waterway,8
Liquor Store,0
Parking Lot/Garage,3562
Rental/Storage Facility,46
Residence/Home,5018
Restaurant,64
School/College,65
Service/Gas Station,119
Specialty Store,143
Other/Unknown,539
TOTAL,13161
