COUNTY POLICE & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Albemarle County PD ,93668,4594.95,4304,3,16,23,45,37,66,1044,18,3,241,1641,99,38,337,45,10,1197,385,5,6,0,0,0,76
State Police ,,,59,0,0,0,0,0,0,2,0,0,0,6,1,2,10,0,0,6,33,0,0,0,0,0,4
Arlington County PD ,206822,4279.52,8851,4,25,23,83,156,156,850,6,1,389,4159,327,123,1058,90,85,1348,567,2,5,2,21,0,44
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County PD ,303538,5747.55,17446,11,83,65,211,321,225,5201,92,13,1568,5430,489,291,1166,177,44,4446,1330,5,29,0,39,0,477
State Police ,,,269,0,0,1,3,0,10,12,0,0,0,10,3,17,58,0,0,2,208,0,0,0,0,1,7
Fairfax County PD ,980585,4037.18,39588,19,366,63,93,333,296,7333,105,22,1375,16143,1096,290,2807,273,407,10031,2455,0,37,2,69,1,586
State Police ,,,270,0,0,0,2,0,12,10,0,0,0,14,21,14,55,2,4,9,139,0,0,0,0,0,8
Henrico County PD ,291767,6273.49,18304,17,93,35,21,327,216,3539,92,6,1492,8028,588,401,683,210,48,4211,1184,5,1,0,12,0,300
State Police ,,,158,1,0,1,0,0,2,4,0,0,0,13,0,33,60,0,2,8,48,0,1,0,0,0,3
James City County PD ,62237,3979.94,2477,1,19,13,38,18,41,742,21,0,203,706,36,67,160,33,7,564,226,0,4,0,0,0,55
State Police ,,,57,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,63,0,0,0,0,0,1
Prince George County PD ,37723,3260.61,1230,0,5,8,19,13,20,242,3,1,86,332,27,9,77,13,6,320,170,0,4,0,0,0,40
State Police ,,,21,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,0,16,0,0,0,0,0,1
Prince William County PD ,371449,4521.75,16796,12,54,23,126,264,262,2949,74,4,1092,5920,640,259,1009,131,90,3004,1781,24,8,4,30,2,282
State Police ,,,275,0,0,0,0,1,6,4,0,0,0,10,11,7,50,0,3,4,186,0,2,0,0,0,8
Roanoke County PD ,83333,3645.61,3038,1,28,15,36,18,82,918,14,3,224,928,63,41,251,46,3,364,423,5,9,0,1,0,57
State Police ,,,40,0,0,0,0,0,1,1,0,1,0,1,0,0,13,0,0,0,22,0,1,0,0,0,0
