Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,36,13,8,4,15,11,15,14,22,17,12,17,10
Tuesday,24,11,7,6,13,11,15,23,16,18,14,16,12
Wednesday,19,24,6,6,5,8,15,12,28,15,21,19,16
Thursday,17,14,10,8,6,16,15,18,19,23,19,16,10
Friday,22,18,8,6,7,17,24,15,22,31,21,24,18
Saturday,40,15,5,4,10,8,16,18,19,25,21,26,13
Sunday,28,21,7,9,8,11,21,25,22,24,26,30,15
Total,186,116,51,43,64,82,121,125,148,153,134,148,94
