Type of Assignment,Number Assaulted,Percent Distribution
Two-Man Vehicle,135,10.3
One-Man Vehicle,,
Alone,388,29.6
Assisted,368,28.1
Detective or Special Assignment,,
Alone,10,0.8
Assisted,28,2.1
Other Assignments,,
Alone,109,8.3
Assisted,273,20.8
Total,1311,100
