Group B Offense Categories,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Bad Checks ,5298,3821,1455,2,20
Curfew/Loitering/Vagrancy Violations ,2840,1440,1370,,30
Disorderly Conduct ,5936,2748,3152,1,35
Driving Under the Influence ,28227,22376,5426,29,396
Drunkenness ,30861,22672,7980,32,177
"Family Offenses, Nonviolent ",1667,723,927,,17
Liquor Law Violations ,13006,10395,2412,9,190
Peeping Tom ,60,46,14,,
Runaway,5715,2699,2959,2,55
Trespass of Real Property ,10803,4654,6079,5,65
Conspiracy to Commit Group A Offense ,96,67,29,,
Conspiracy to Commit Group B Offense ,16,9,7,,
All Other Offenses (except most traffic),97775,54733,42380,48,614
Total ,202300,126383,74190,128,1599
