Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Alexandria PD ,137947,5107.75,7046,4,30,32,12,158,159,1449,6,1,295,2759,373,46,280,64,147,1869,436,0,1,13,22,1,51
State Police ,,,19,0,0,0,0,0,0,2,0,0,0,1,1,1,10,0,0,0,3,0,0,0,0,0,1
Bedford PD ,6356,8637.5,549,1,1,2,4,0,10,159,0,0,28,191,8,13,23,1,2,97,62,0,1,0,1,0,10
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol PD ,17438,9685.74,1689,0,9,14,24,15,43,440,4,0,108,541,38,74,66,6,1,303,142,0,2,0,3,0,37
State Police ,,,7,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Buena Vista PD ,6515,2594.01,169,0,0,1,4,0,3,30,0,0,0,51,1,3,1,1,0,51,24,1,0,0,2,0,8
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlottesville PD ,39638,10805.28,4283,5,16,22,30,81,113,999,13,1,191,1648,150,34,164,38,7,1257,294,5,9,0,3,0,62
State Police ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chesapeake PD ,216622,6723.23,14564,12,150,64,152,382,546,4957,37,3,1203,5201,410,232,1001,178,50,266,1758,7,7,2,34,1,323
State Police ,,,32,0,0,0,0,0,0,1,0,0,0,0,0,2,20,0,0,0,9,0,0,0,0,0,2
Colonial Heights PD ,17693,9099.64,1610,0,10,2,9,19,24,193,9,1,70,694,34,45,117,37,6,219,248,0,1,0,0,0,48
State Police ,,,53,0,0,0,0,0,0,0,0,0,0,0,1,0,42,0,0,0,11,0,0,0,0,0,2
Covington PD ,5920,7871.62,466,2,2,2,7,0,9,135,4,0,36,130,5,4,15,4,1,119,23,1,2,0,0,0,9
State Police ,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Danville PD ,45152,13640.59,6159,11,11,7,4,110,135,1585,12,0,509,2106,103,97,196,32,1,1199,486,1,1,0,16,0,214
State Police ,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,2
Emporia PD ,5566,16061.8,894,1,0,3,1,12,27,185,4,0,62,280,7,58,26,15,1,185,117,0,0,0,1,0,22
State Police ,,,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1
Fairfax PD ,23987,5969.9,1432,1,3,4,15,18,8,299,9,0,47,581,24,20,98,18,0,286,77,1,2,0,2,0,11
State Police ,,,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Falls Church PD ,11399,6877.79,784,0,1,0,6,12,5,98,0,0,31,326,21,2,44,2,1,250,51,0,0,3,0,0,8
State Police ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Franklin PD ,8292,13675.83,1134,0,9,2,4,11,33,258,1,1,115,367,26,16,11,15,9,299,76,1,1,1,0,0,37
State Police ,,,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0
