COUNTY TOTAL,9378,8241,1137,2158
OTHER AGENCY TOTAL,2604,2401,203,998
CITY TOTAL,5970,5208,762,1751
COLLEGE AND UNIVERSITY TOTAL,550,457,93,329
State Total,18502,16307,2195,5236
