Circumstances of Aggravated Assaults,Number
Argument,4034
Assault on Law Officer,365
Drug Dealing,49
Gangland,53
Juvenile Gang,45
Lover's Quarrel,368
Other Felony Involved,55
Other Circumstances,2071
Unknown Circumstances,3490
(Up to 2 circumstances can be reported for each victim.),
