Offenses,Under 10,10--12,13--14,15,16,17,Total
Murder/Nonnegligent Manslaughter,0,0,1,2,4,13,20
Negligent Manslaughter,0,0,0,1,0,1,2
Kidnaping/Abduction,0,3,4,7,16,18,48
Forcible Rape,0,4,15,13,7,13,52
Forcible Sodomy,1,9,17,5,7,4,43
Sexual Assault with an Object,0,1,6,3,5,1,16
Forcible Fondling,1,24,51,26,20,21,143
Robbery,2,10,71,102,140,163,488
Aggravated Assault,2,35,107,102,140,148,534
Simple Assault,38,489,1309,882,1065,910,4693
Intimidation,2,26,62,39,53,47,229
Arson,7,31,54,39,27,12,170
Extortion/Blackmail,1,0,15,8,7,5,36
Burglary/Breaking & Entering,16,64,214,232,295,309,1130
Pocket Picking,0,1,2,1,9,9,22
Purse Snatching,0,1,0,1,0,2,4
Shoplifting,8,150,609,513,683,821,2784
Theft from Building,0,32,47,36,53,49,217
Theft from Coin-Operated Device,0,0,1,1,3,2,7
Theft from Motor Vehicle,1,8,33,33,36,43,154
Theft of Motor Vehicle Parts,0,0,1,2,6,1,10
All Other Larceny,7,129,424,398,479,510,1947
Motor Vehicle Theft,0,5,34,57,61,65,222
Counterfeiting/Forgery,0,0,7,7,12,26,52
False Pretenses/Swindle/Confidence Game,2,0,18,12,27,23,82
Credit Card/Teller Machine Fraud,0,1,4,2,7,17,31
Impersonation,0,1,2,1,1,9,14
Welfare Fraud,0,0,0,0,0,0,0
Wire Fraud,0,0,0,0,1,0,1
