Arrests by Offense,College/University,,Other Agency,,Total Other,,Total State,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,1,0,0,0,1,0,291,20
Manslaughter,0,0,0,0,0,0,10,2
Kidnaping,0,0,0,1,0,1,918,48
"Sex Offenses, Forcible",3,0,0,1,3,1,1078,254
Robbery,1,1,1,0,2,1,1643,488
Aggravated Assault,10,0,4,0,14,0,4163,534
Simple Assault/Intimidation,60,1,28,1,88,2,33907,4922
Arson,0,0,0,0,0,0,140,170
Extortion/Blackmail,0,0,0,0,0,0,32,36
Burglary,10,3,1,0,11,3,3488,1130
Larceny,69,5,52,6,121,11,21911,5145
Motor Vehicle Theft,0,1,4,0,4,1,811,222
Counterfeiting/Forgery,12,1,93,1,105,2,2403,52
Fraud,11,0,71,0,82,0,3767,128
Embezzlement,5,0,51,0,56,0,1857,98
Stolen Property,8,0,2,0,10,0,804,185
Vandalism,26,0,5,0,31,0,3535,1504
Drug/Narcotic Offenses,226,7,111,5,337,12,30464,2753
"Sex Offenses, Nonforcible",0,0,0,0,0,0,108,9
Pornography,1,0,1,0,2,0,83,13
Gambling,0,0,0,0,0,0,54,4
Prostitution,0,0,1,0,1,0,554,3
Bribery,0,0,3,0,3,0,21,0
Weapon Law Violations,9,0,35,1,44,1,3566,561
TOTAL GROUP A,452,19,463,16,915,35,115608 18281,
Bad Checks,1,0,4,0,5,0,5290,8
Curfew/Loitering/Vagrancy,0,0,0,0,0,0,111,2729
Disorderly Conduct,69,1,20,0,89,1,4417,1519
Driving Under Influence,378,1,60,0,438,1,28039,188
Drunkenness,781,1,208,1,989,2,30663,198
"Family Offenses, Nonforcible",0,0,13,0,13,0,1646,21
Liquor Laws Violations,971,33,1463,161,2434,194,10712,2294
Peeping Tom,14,0,0,0,14,0,59,1
Runaway,0,0,0,0,0,0,0,5715
Trespass of Real Property,249,2,20,0,269,2,9482,1321
Conspiracy,0,0,0,0,0,0,104,8
All Other (except Traffic),399,9,848,47,1247,56,89362,8413
TOTAL GROUP B,2862,47,2636,209,5498,256,179885 22415,
GRAND TOTAL,3314,66,3099,225,6413,291,295493 40696,
