Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
OTHER AGENCIES,,,,
Alcoholic Bev. Control,116,94,22,38
Dept of Conservation & Rec.,110,98,12,155
Dept of Motor Vehicles,80,75,5,10
Division of Capitol Police,67,59,8,11
Southside Va. Trng Center,16,14,2,2
Richmond Int'l Airport,29,26,3,9
Va. Port Authority,89,76,13,7
Norfolk Airport Authority,37,34,3,7
Metro. Wash.Airport Auth.,182,149,33,77
Virginia State Police,1878,1776,102,682
OTHER AGENCY TOTAL,2604,2401,203,998
