TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Vienna PD ,14848,3616.64,537,0,2,1,5,1,5,69,2,2,32,219,5,6,42,4,1,123,58,2,1,0,0,0,10
Vinton PD ,7864,10045.77,790,0,2,5,13,5,11,223,0,1,38,258,7,10,36,14,3,136,120,0,1,0,1,0,13
Warrenton PD ,8877,7029.4,624,0,1,2,7,5,18,74,2,0,18,241,15,17,58,14,6,118,60,1,0,0,0,0,6
Warsaw PD ,1361,1616.45,22,0,0,0,0,0,4,4,0,0,0,11,0,4,0,0,0,0,2,0,0,0,0,0,1
Waverly PD ,2175,5287.35,115,0,0,0,2,4,12,20,0,0,6,11,4,1,2,0,1,11,48,0,0,0,0,0,3
Weber City PD ,1320,6893.93,91,0,0,0,0,0,1,6,0,0,5,27,0,11,0,0,0,11,41,0,0,0,0,0,2
West Point PD,3113,3983.29,124,0,0,0,3,1,2,19,0,1,9,29,3,1,13,0,0,38,15,0,0,0,0,0,2
White Stone PD,342,2631.57,9,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0
Wise PD ,3237,5560.7,180,0,1,1,1,0,2,23,1,0,10,91,2,4,9,2,1,22,28,1,2,0,0,0,2
Woodstock PD,4265,3516.99,150,0,0,0,0,1,9,24,0,0,1,55,3,2,7,6,3,21,25,0,0,0,0,0,4
Wytheville PD,8109,6030.33,489,1,0,0,0,2,0,24,2,0,20,286,10,10,14,5,3,111,40,0,0,0,0,0,3
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
