,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arson,141,103,133,123,129,138,146,135,88,127,106,96
"Assault, Aggrav.",707,624,751,700,884,791,882,809,795,810,646,628
"Assault, Other",6591,6409,7021,7033,7866,7682,7500,7311,7559,7530,6684,6166
Bribery,2,0,2,2,3,3,3,3,4,2,5,0
Burglary,2616,2106,2425,2473,2855,2614,2681,2862,2796,2812,2727,2782
Counterfeiting,724,550,616,635,616,623,615,617,607,547,556,540
Destruction,7332,6927,7975,7375,8170,8213,8596,8605,7366,7873,7069,6950
Drug,3974,4203,4434,4181,4222,3911,4093,3871,3555,3433,3140,3098
Embezzlement,353,284,283,303,316,296,338,296,280,316,296,283
Extortion,14,25,13,15,13,14,11,11,5,7,4,8
Fraud,2274,1956,2167,2010,2011,1987,1989,2128,2178,2118,1801,1821
Gambling,4,3,3,8,5,7,7,4,4,10,3,1
"Homicide, Murder",30,27,26,42,23,36,34,27,29,21,24,25
"Homicide, Neg.",1,2,3,1,2,0,0,2,2,2,2,1
Kidnaping,156,120,138,122,148,156,173,157,149,148,122,144
Larceny,12080,10873,12166,12503,13194,13141,14191,14426,13110,13835,11971,12057
MV Theft,1122,971,997,1017,1193,1176,1240,1361,1144,1057,953,930
Pornography,39,35,28,27,27,35,51,44,48,43,46,39
Prostitution,45,56,39,57,65,67,69,100,60,87,44,27
Robbery,665,475,610,602,642,510,650,595,657,732,668,680
"Forcible Sex, Rape",150,123,118,152,148,147,183,162,173,143,122,117
"Forcible Sex, Other",304,250,265,269,301,320,268,275,274,277,205,208
Nonforcible Sex,18,21,18,23,22,15,20,21,18,15,16,15
Stolen Property,167,156,134,163,154,156,167,166,131,140,154,145
Weapon Laws,887,784,884,886,982,871,918,891,832,857,761,781
Group A Offenses,40396,37083,41249,40722,43991,42909,44825,44879,41864,42942,38125,37542
Group A Incidents,36615,33732,37590,37130,40026,39211,40959,40952,38306,39344,34814,34262
"Assaults, Other includes simple assaults and intimidation.",,,,,,,,,,,,
"Forcible Sex, Other: includes forcible sodomy, forcible sexual assault with object, and forcible fondling.",,,,,,,,,,,,
Nonforcible Sex includes incest and statutory rape.,,,,,,,,,,,,
"These crime counts represent offenses reported in an incident, not victims of each offense.",,,,,,,,,,,,
