Age,Number,Percent Distribution
Under 10 ,223,0.07
10--12 ,1992,0.59
13--14 ,8064,2.4
15,8038,2.39
16,10665,3.17
17,11714,3.48
18,16002,4.76
19,16993,5.05
20,15701,4.67
21,14610,4.35
22,13411,3.99
23,12615,3.75
24,11251,3.35
25-29 ,48444,14.41
30-34 ,33260,9.89
35-39 ,29874,8.89
40-44 ,28807,8.57
45-49 ,24999,7.44
50-54 ,15629,4.65
55-59 ,7628,2.27
60-64 ,3364,1
65 & Over ,2905,0.86
Total,336189,100
