Communication Services,FY 2013,FY 2012,FY 2011
"Calls received (Police, Fire and Rescue)","25,758","36,573","37,467"
Escorts,237,261,325
Accidents Worked,902,966,866
Assist Motorists,2215,2367,2316
Alarms Answered,855,1044,908
First Aid (Police Response),2513,2510,1881
Fire Dept.(Police Respone),447,408,321
Total of Communication Services,"32,927","44,129","44,084"
