Traffic Warrants,FY 2013,FY 2012,FY 2011
Speeding,1425,1522,998
Seat Belt/ Child Seat,1142,1281,663
Expired Stickers,794,873,844
Improper Equipment,252,298,203
Stop Sign/Traffic Signal,1057,615,470
Suspended/No License,536,475,379
DUI,194,179,187
Reckless Driving,81,63,62
Other Traffic Arrests,"1,825","1,952","1,865"
Total Traffic Warrants,"7,306","7,258","5,671"
