Criminal Offenses,FY 2013,FY 2012,FY 2011
Murder/Nonnegligent Manslaughter,0,0,1
Sexual Misconduct Offenses,29,26,29
Assault and Battery,281,303,336
Arson,5,2,7
Burglary/Breaking and Entering,73,88,72
Robbery,4,3,8
Motor Vehicle Theft,8,24,24
Shoplifting and Larceny,787,621,625
Forgery and Fraud,171,177,195
Weapon Violation,20,42,32
Drug Charges,243,256,214
Juvenile Crimes,68,79,109
Other Criminal Offenses,805,1189,1138
Total Criminal Offenses,"2,494","2,810","2,790"
