Disciplinary Actions - On campus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2009,419022,ACT College,1,Arlington Campus,501,0,0,0
2009,419022,ACT College,2,Alexandria Campus,501,0,0,0
2009,419022,ACT College,3,Manassas Campus,501,0,0,0
2009,231411,Advanced Technology Institute,1,Advanced Technology Institute - Virginia Beach,827,0,0,0
2009,231411,Advanced Technology Institute,2,ATI - Virginia Beach Airport Facility,827,0,0,0
2009,232797,American National University,1,American National University - Salem,6691,0,0,0
2009,232797,American National University,2,American National University - Charlottesville,6691,0,0,0
2009,232797,American National University,3,American National University - Martinsville,6691,0,0,0
2009,232797,American National University,4,American National University - Lynchburg,6691,0,0,0
2009,232797,American National University,5,American National University - Danville,6691,0,0,0
2009,232797,American National University,6,American National University - Princeton,6691,0,0,0
2009,232797,American National University,7,American National University - Harrisonburg,6691,0,0,0
2009,232797,American National University,8,National College of Business & Technology-Bristol,6691,0,0,0
2009,232797,American National University,9,National College of Business & Technology-Knoxville,6691,0,0,0
2009,232797,American National University,10,National College -  Cincinnati,6691,0,0,0
2009,232797,American National University,11,National College  - Kettering,6691,0,0,0
2009,232797,American National University,12,National College-Youngstown,6691,0,0,0
2009,432348,Appalachian School of Law,1,Main Campus,334,0,0,0
2009,419457,Argosy University-Washington DC,1,Argosy University - Washington,1242,0,0,0
2009,231420,Averett University,1,Main Campus,917,1,2,46
2009,449931,Averett University-Non-traditional programs,1,GPS-Main Campus,1784,1,2,0
2009,449931,Averett University-Non-traditional programs,2,GPS-Chesapeake,1784,0,0,0
2009,449931,Averett University-Non-traditional programs,3,GPS-Quantico,1784,0,0,0
2009,449931,Averett University-Non-traditional programs,4,Richmond,1784,0,0,0
2009,448257,Avi Career Training,1,Main Campus,21,0,0,0
2009,427973,Aviation Institute of Maintenance-Chesapeake,1,Main Campus,247,0,0,0
2009,445762,Aviation Institute of Maintenance-Manassas,1,Main Campus,187,0,0,0
2009,366793,Baptist Theological Seminary at Richmond,1,Main Campus,111,1,1,0
2009,231280,Bar Palma Beauty Careers Academy,1,Main Campus,90,0,0,0
2009,231536,Blue Ridge Community College,1,Weyers Cave Campus,4883,0,0,0
2009,231554,Bluefield College,1,Main Campus,753,0,0,0
2009,233356,Bon Secours Memorial College of Nursing,1,Main Campus,334,0,0,0
2009,233480,Bon Secours St Mary's Hospital School of Medical Imaging,1,Main Campus,41,0,0,0
2009,231581,Bridgewater College,1,Main Campus,1590,0,3,106
2009,231828,Bryant & Stratton College-Richmond,1,Richmond Campus,730,0,0,0
2009,231785,Bryant & Stratton College-Virginia Beach,1,Main Campus,752,0,0,0
2009,441858,Career Training Solutions,1,Main Campus,329,0,0,0
2009,231688,Central School of Practical Nursing,1,Main Campus,53,0,0,0
2009,231697,Central Virginia Community College,1,Main Campus,5420,0,0,0
2009,231697,Central Virginia Community College,2,Altavista Center,5420,0,0,0
