Survey Year,UnitID,Institution Name,Campus ID,Campus Name,Institution Size,Name of Facility,Street Address,Total Fires,Category of Fire,Cause of Fire,Fire-related Injuries,Fire-related Deaths,Property Damage
2009,231420,Averett University,1,Main Campus,917,Main Hall,420 West Main st.,0,,,,,
2009,231420,Averett University,1,Main Campus,917,Bishop Hall,420 West Main st.,0,,,,,
2009,231420,Averett University,1,Main Campus,917,Davenport Hall,420 West Main st.,0,,,,,
2009,231420,Averett University,1,Main Campus,917,Danville Hall,420 West Main st.,0,,,,,
2009,231420,Averett University,1,Main Campus,917,Fugate Hall,420 West Main st.,0,,,,,
2009,231420,Averett University,1,Main Campus,917,Averett Commons Apt. building 1,210 Mt. View Road,0,,,,,
2009,231420,Averett University,1,Main Campus,917,Averett Commons Apt. building 2,212 Mt. View Road,0,,,,,
2009,231420,Averett University,1,Main Campus,917,Averett Commons Apt. building 3,214 Mt. View Road,0,,,,,
2009,231420,Averett University,1,Main Campus,917,Mt. View Apartments,252 Mt. View Road.,0,,,,,
2009,366793,Baptist Theological Seminary at Richmond,1,Main Campus,111,Graves Hall,3400 Brook Road,0,,,,,
2009,366793,Baptist Theological Seminary at Richmond,1,Main Campus,111,Kraemer,1207 Palmyra Ave,0,,,,,
2009,231554,Bluefield College,1,Main Campus,753,Alumni Hall,"3000 College Drive, Bluefield Virginia 24605",0,,,,,
2009,231554,Bluefield College,1,Main Campus,753,Rish Hall,"3000 College Drive Bluefield Virginia, 24605",0,,,,,
2009,231554,Bluefield College,1,Main Campus,753,Cruise Hall,"3000 College Drive 3000 College Drive, Bluefield, Virginia, 24605",0,,,,,
2009,231554,Bluefield College,1,Main Campus,753,East River Hall,3000 College Drive Bluefield Virginia 24605,0,,,,,
2009,231554,Bluefield College,1,Main Campus,753,Married Student Housing Cottage # 4,"3000 College Drive Bluefield Virginia, 24605",0,,,,,
2009,231581,Bridgewater College,1,Main Campus,1590,Blue Ridge Hall,449 Dinkel Avenue,0,,,,,
2009,231581,Bridgewater College,1,Main Campus,1590,Daleville Hall,451 Dinkel Avenue,0,,,,,
2009,231581,Bridgewater College,1,Main Campus,1590,Dillon Hall,461 Dinkel Avenue,0,,,,,
