Rank,Call Nature,Number of Calls
1,911 Hang-Up,"6,123"
2,"Alarm, B and E","5,961"
3,See Complainant,"4,689"
4,Disturbance,"3,341"
5,Animal Control Call,"3,012"
6,Suspicious Person,"2,647"
7,Auto Accident,"2,629"
8,Reckless Driver,"2,451"
9,Report Only,"1,905"
10,Larceny,"1,880"
