Incidents Responded to by Uniform Patrol Division,Total
Domestic Disturbances,137
Welfare Checks on Citizens,335
Business Escorts,434
Bank/Burglar Alarms,222
Robberies,7
Larceny Complaints,588
Fights,329
Threats,123
Malicious Wounding,8
Property Damage/Vandalism Complaints,183
Motorists Assisted,587
Shots Fired Calls,39
Suspicious Persons/Vehicles,"1,329"
Burglaries,55
Emergency Custody and Temporary Detention Orders Served for Mental Illness,119
