,"Number of Domestic Violence Victims per 1,000 Population",,,,,,Percent Change
Region,"2,006","2,007","2,008","2,009","2,010",Total,2006-2010
Central,7,7,7,7,,7,330.00%
Eastern,7,6,5,5,,5.2,-21.7
Hampton Roads,9,10,9,9,,9.7,400.00%
Northern,4,4,4,4,,4,580.00%
Southside,6,6,6,6,,6,410.00%
Southwest,5,6,6,5,,5.1,-4.7
Valley,5,5,6,6,,5.8,710.00%
West Central,9,9,10,10,,10,1300.00%
Virginia,6,7,7,7,,6.7,370.00%
