,Number of Cases,Number Cleared,Percent Cleared
Murder,14,11,78.57%
Rape,61,38,62.30%
Robbery,447,173,38.70%
Aggravated Assault,375,224,59.73%
Burglary,"1,989",602,30.27%
Larceny,"21,434","3,886",18.13%
Motor Vehicle Theft,"1,991",648,32.55%
Total,"26,311","5,582",21.22%
