,Number of Cases,Number Cleared,Percent Cleared
Murder,16,11,68.75%
Rape,100,78,78.00%
Robbery,460,188,40.87%
Aggravated Assault,343,270,78.72%
Burglary,"2,211",789,35.69%
Larceny,"20,295","4,251",20.95%
Motor Vehicle Theft,"1,721",724,42.07%
Total,"25,146","6,311",25.10%
