,Number of Cases,Number Cleared,Percent Cleared
Murder,17,15,88.24%
Rape,104,79,75.96%
Robbery,428,184,42.99%
Aggravated Assault,361,245,67.87%
Burglary,"2,036",643,31.58%
Larceny,"21,148","4,133",19.54%
Motor Vehicle Theft,"1,879",696,37.04%
Total,"25,973","5,995",23.08%
