,Number of Cases,Number Cleared,Percent Cleared
Murder,14,10,71.43%
Rape,77,56,72.73%
Robbery,447,179,40.04%
Aggravated Assault,348,242,69.54%
Burglary,"2,189",654,29.88%
Larceny,"21,984","4,022",18.30%
Motor Vehicle Theft,"1,983",720,36.31%
Total,"27,042","5,883",21.76%
