,Number of Cases,Number Cleared,Percent Cleared
Murder,13,13,100.00%
Rape,87,50,57.47%
Robbery,487,167,34.29%
Aggravated Assault,335,249,74.33%
Burglary,"1,942",549,28.27%
Larceny,"21,707","4,033",18.58%
Motor Vehicle Theft,"2,106",650,30.86%
Total,"26,677","5,711",21.41%
