Crime,Total,Percentage
Larceny,9129,70%
Stolen Vehicle,685,5%
Arson,39,0%
Homicide,29,0%
Rape,49,0%
Robbery,496,4%
Aggravated Assault,632,5%
Burglary,2167,16%
