Circumstances of Aggravated Assaults,Total
Argument,4698
Assault on Law Officer,708
Drug Dealing,53
Gangland,31
Juvenile Gang,20
Lover's Quarrel,304
Other Felony Involved,36
Other Circumstances,2098
Unknown Circumstances,3517
