Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,111,56,24,28,22,66,48,48,68,110,180,163,12
Tuesday,95,57,34,15,20,57,56,73,65,103,177,169,7
Wednesday,128,36,23,24,37,25,52,49,55,108,150,157,9
Thursday,102,65,39,25,32,43,52,51,60,118,153,155,12
Friday,106,55,32,30,46,55,51,68,84,111,161,210,7
Saturday,159,120,63,33,46,40,57,56,69,102,156,184,4
Sunday,150,88,62,20,18,35,37,52,51,90,132,141,4
Total,851,477,277,175,221,321,353,397,452,742,1109,1179,55
